name,setting,unit,category,context,vartype,source,boot_val,reset_val,pending_restart
md5_password_warnings,on,,Connections and Authentication / Authentication,user,bool,default,on,on,False
min_dynamic_shared_memory,0,MB,Resource Usage / Memory,postmaster,integer,default,0,0,False
min_parallel_index_scan_size,64,8kB,Query Tuning / Planner Cost Constants,user,integer,default,64,64,False
min_parallel_table_scan_size,1024,8kB,Query Tuning / Planner Cost Constants,user,integer,default,1024,1024,False
min_wal_size,80,MB,Write-Ahead Log / Checkpoints,sighup,integer,configuration file,80,80,False
multixact_member_buffers,32,8kB,Resource Usage / Memory,postmaster,integer,default,32,32,False
multixact_offset_buffers,16,8kB,Resource Usage / Memory,postmaster,integer,default,16,16,False
notify_buffers,16,8kB,Resource Usage / Memory,postmaster,integer,default,16,16,False
num_os_semaphores,174,,Preset Options,internal,integer,default,0,174,False
oauth_validator_libraries,,,Connections and Authentication / Authentication,sighup,string,default,,,False
parallel_leader_participation,on,,Resource Usage / Worker Processes,user,bool,default,on,on,False
parallel_setup_cost,1000,,Query Tuning / Planner Cost Constants,user,real,default,1000,1000,False
parallel_tuple_cost,0.1,,Query Tuning / Planner Cost Constants,user,real,default,0.1,0.1,False
password_encryption,scram-sha-256,,Connections and Authentication / Authentication,user,enum,default,scram-sha-256,scram-sha-256,False
pg_stat_statements.max,5000,,Customized Options,postmaster,integer,default,5000,5000,False
pg_stat_statements.save,on,,Customized Options,sighup,bool,default,on,on,False
pg_stat_statements.track,top,,Customized Options,superuser,enum,default,top,top,False
pg_stat_statements.track_planning,off,,Customized Options,superuser,bool,default,off,off,False
pg_stat_statements.track_utility,on,,Customized Options,superuser,bool,default,on,on,False
plan_cache_mode,auto,,Query Tuning / Other Planner Options,user,enum,default,auto,auto,False
port,55433,,Connections and Authentication / Connection Settings,postmaster,integer,command line,5432,55433,False
post_auth_delay,0,s,Developer Options,backend,integer,default,0,0,False
pre_auth_delay,0,s,Developer Options,sighup,integer,default,0,0,False
primary_conninfo,,,Replication / Standby Servers,sighup,string,default,,,False
primary_slot_name,,,Replication / Standby Servers,sighup,string,default,,,False
quote_all_identifiers,off,,Version and Platform Compatibility / Previous PostgreSQL Versions,user,bool,default,off,off,False
random_page_cost,4,,Query Tuning / Planner Cost Constants,user,real,default,4,4,False
recovery_end_command,,,Write-Ahead Log / Archive Recovery,sighup,string,default,,,False
recovery_init_sync_method,fsync,,Error Handling,sighup,enum,default,fsync,fsync,False
recovery_min_apply_delay,0,ms,Replication / Standby Servers,sighup,integer,default,0,0,False
recovery_prefetch,try,,Write-Ahead Log / Recovery,sighup,enum,default,try,try,False
recovery_target,,,Write-Ahead Log / Recovery Target,postmaster,string,default,,,False
recovery_target_action,pause,,Write-Ahead Log / Recovery Target,postmaster,enum,default,pause,pause,False
recovery_target_inclusive,on,,Write-Ahead Log / Recovery Target,postmaster,bool,default,on,on,False
recovery_target_lsn,,,Write-Ahead Log / Recovery Target,postmaster,string,default,,,False
recovery_target_name,,,Write-Ahead Log / Recovery Target,postmaster,string,default,,,False
recovery_target_time,,,Write-Ahead Log / Recovery Target,postmaster,string,default,,,False
recovery_target_timeline,latest,,Write-Ahead Log / Recovery Target,postmaster,string,default,latest,latest,False
recovery_target_xid,,,Write-Ahead Log / Recovery Target,postmaster,string,default,,,False
recursive_worktable_factor,10,,Query Tuning / Other Planner Options,user,real,default,10,10,False
remove_temp_files_after_crash,on,,Developer Options,sighup,bool,default,on,on,False
reserved_connections,0,,Connections and Authentication / Connection Settings,postmaster,integer,default,0,0,False
restart_after_crash,on,,Error Handling,sighup,bool,default,on,on,False
restore_command,,,Write-Ahead Log / Archive Recovery,sighup,string,default,,,False
