name,setting,unit,category,context,vartype,source,boot_val,reset_val,pending_restart
restrict_nonsystem_relation_kind,,,Client Connection Defaults / Statement Behavior,user,string,default,,,False
row_security,on,,Client Connection Defaults / Statement Behavior,user,bool,default,on,on,False
scram_iterations,4096,,Connections and Authentication / Authentication,user,integer,default,4096,4096,False
search_path,"""$user"", public",,Client Connection Defaults / Statement Behavior,user,string,default,"""$user"", public","""$user"", public",False
segment_size,131072,8kB,Preset Options,internal,integer,default,131072,131072,False
send_abort_for_crash,off,,Developer Options,sighup,bool,default,off,off,False
send_abort_for_kill,off,,Developer Options,sighup,bool,default,off,off,False
seq_page_cost,1,,Query Tuning / Planner Cost Constants,user,real,default,1,1,False
serializable_buffers,32,8kB,Resource Usage / Memory,postmaster,integer,default,32,32,False
server_encoding,UTF8,,Preset Options,internal,string,default,SQL_ASCII,UTF8,False
server_version,18.3,,Preset Options,internal,string,default,18.3,18.3,False
server_version_num,180003,,Preset Options,internal,integer,default,180003,180003,False
session_preload_libraries,,,Client Connection Defaults / Shared Library Preloading,superuser,string,default,,,False
session_replication_role,origin,,Client Connection Defaults / Statement Behavior,superuser,enum,default,origin,origin,False
shared_buffers,16384,8kB,Resource Usage / Memory,postmaster,integer,configuration file,16384,16384,False
shared_memory_size,153,MB,Preset Options,internal,integer,default,0,153,False
shared_memory_size_in_huge_pages,-1,,Preset Options,internal,integer,default,-1,-1,False
shared_memory_type,windows,,Resource Usage / Memory,postmaster,enum,default,windows,windows,False
shared_preload_libraries,pg_stat_statements,,Client Connection Defaults / Shared Library Preloading,postmaster,string,configuration file,,pg_stat_statements,False
ssl,off,,Connections and Authentication / SSL,sighup,bool,default,off,off,False
ssl_ca_file,,,Connections and Authentication / SSL,sighup,string,default,,,False
ssl_cert_file,server.crt,,Connections and Authentication / SSL,sighup,string,default,server.crt,server.crt,False
ssl_ciphers,HIGH:MEDIUM:+3DES:!aNULL,,Connections and Authentication / SSL,sighup,string,default,HIGH:MEDIUM:+3DES:!aNULL,HIGH:MEDIUM:+3DES:!aNULL,False
ssl_crl_dir,,,Connections and Authentication / SSL,sighup,string,default,,,False
ssl_crl_file,,,Connections and Authentication / SSL,sighup,string,default,,,False
ssl_dh_params_file,,,Connections and Authentication / SSL,sighup,string,default,,,False
ssl_groups,X25519:prime256v1,,Connections and Authentication / SSL,sighup,string,default,X25519:prime256v1,X25519:prime256v1,False
ssl_key_file,server.key,,Connections and Authentication / SSL,sighup,string,default,server.key,server.key,False
ssl_library,OpenSSL,,Preset Options,internal,string,default,OpenSSL,OpenSSL,False
ssl_max_protocol_version,,,Connections and Authentication / SSL,sighup,enum,default,,,False
ssl_min_protocol_version,TLSv1.2,,Connections and Authentication / SSL,sighup,enum,default,TLSv1.2,TLSv1.2,False
